POINT (-94.484945 31.331633)	48	005		110211087965		C3061
POINT (-94.488412 31.3343)	48	005		110211087976		C3061
POINT (-94.658755 31.354611)	48	005		110211089418		C3061
POINT (-94.72873 31.425794)	48	005		110211090749		C3061
POINT (-94.7124 31.299757)	48	005		110211092168		C3061
POINT (-94.712234 31.298916)	48	005		110211092177		C3061
POINT (-94.720864 31.282028)	48	005		110211092193		C3061
POINT (-94.763867 31.378099)	48	005		110211094702		C3061
POINT (-94.800752 31.422101)	48	005		110211883693	Hospital	K1231
POINT (-94.742906 31.336018)	48	005		110211883694	Hospital	K1231
POINT (-94.788963 31.171496)	48	005		110211883695	South Meadows Nurse Home	K1231
POINT (-94.691731 31.388962)	48	005		110211883755	Davisville Grayco Arprt	K2451
POINT (-94.666161 31.166919)	48	005		110211883756	Beaulah Arprt	K2451
POINT (-94.517883 31.168361)	48	005		110211883757	Bufords Arprt	K2451
POINT (-94.745686 31.231897)	48	005		110211883758	Angelina County Arprt	K2451
POINT (-94.518948 31.398744)	48	005		110211883809	Marion Ferry Park	K2190
POINT (-94.775471 31.187603)	48	005		110211883810	Diboll City Park	K2190
POINT (-94.79315 31.187597)	48	005		110211883811	Shepherd Park	K2190
POINT (-94.376186 31.209778)	48	005		110211883812	Monterey Park	K2190
POINT (-94.34566 31.21397)	48	005		110211883813	Cassell Boykin Park	K2190
POINT (-94.368809 31.214194)	48	005		110211883814	Monterey Dark	K2190
POINT (-94.255996 31.134189)	48	005		110211883815	Caney Creek Park	K2190
POINT (-97.018198 28.164316)	48	007		110212172900		C3061
POINT (-97.018326 28.163294)	48	007		110212177420		C3061
POINT (-97.037784 28.079024)	48	007		110212177920		C3061
POINT (-97.030794 28.039729)	48	007		110212180561		C3061
POINT (-97.029364 28.039202)	48	007		110212180580		C3061
POINT (-97.029033 28.038409)	48	007		110212180600		C3061
POINT (-97.031076 28.038709)	48	007		110212180620		C3061
POINT (-97.031479 28.037797)	48	007		110212180673		C3061
POINT (-97.028704 28.037598)	48	007		110212180706		C3061
POINT (-97.03197 28.036914)	48	007		110212180711		C3061
POINT (-97.028516 28.036721)	48	007		110212180717		C3061
POINT (-97.043992 28.056035)	48	007		110212180791		C3061
POINT (-97.060629 28.048518)	48	007		110212181481		C3061
POINT (-97.032688 28.036167)	48	007		110212182290		C3061
POINT (-97.033617 28.035802)	48	007		110212182357		C3061
